Lineup ID,Player Name,Player Team,Player Position
8f84b5ac-f626-4fdc-8006-e9d3b1a82e05,Jamari Thrash,CLE,WR
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Chris Olave,NO,WR
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Derek Carr,NO,QB
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Juwan Johnson,NO,TE
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Terry McLaurin,WAS,WR
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Jayden Daniels,WAS,QB
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Ben Sinnott,WAS,TE
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Ladd McConkey,LAC,WR
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Justin Herbert,LAC,QB
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Brenden Rice,LAC,WR
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Breece Hall,NYJ,RB
c97f6764-ae8e-4a64-8f1c-300b3cec0e4e,Tyler Conklin,NYJ,TE
a2561e9b-5649-4577-94e2-4ae4e03b9e61,CeeDee Lamb,DAL,WR
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Dak Prescott,DAL,QB
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Brandin Cooks,DAL,WR
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Kyren Williams,LA,RB
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Matthew Stafford,LA,QB
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Colby Parkinson,LA,TE
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Antonio Gibson,NE,RB
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Drake Maye,NE,QB
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Javon Baker,NE,WR
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Christian Kirk,JAX,WR
a2561e9b-5649-4577-94e2-4ae4e03b9e61,Gabe Davis,JAX,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Jalen Hurts,PHI,QB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Dallas Goedert,PHI,TE
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Parris Campbell,PHI,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,George Pickens,PIT,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Roman Wilson,PIT,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Russell Wilson,PIT,QB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Rhamondre Stevenson,NE,RB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Hunter Henry,NE,TE
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Drake Maye,NE,QB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Justin Jefferson,MIN,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Aaron Jones,MIN,RB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Malik Nabers,NYG,WR
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Devin Singletary,NYG,RB
26160b3d-a9d6-468d-952e-d3a2f1566e4a,Christian Watson,GB,WR
